WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
10.27	1.43	11.68	0.14	0.54	0.69	0.194	0.12
6.42	2.59	8.96	0.43	1.07	2.13	0.317	0.244
5.91	2.29	7.16	0.24	1.11	3.21	0.282	0.226
5.72	2.67	8.58	0.46	1.18	3.12	0.289	0.225
5.46	3.03	5.19	0.49	1.01	3.08	0.282	0.251
5.03	3.71	4.89	0.51	1.2	3.58	0.272	0.243
4.66	3.28	5.84	0.44	1.05	3.28	0.306	0.262
4.41	3.71	5.47	0.28	1.26	3.61	0.223	0.192
4.17	2.36	4.53	0.28	1.13	3.22	0.233	0.209
3.9	2.63	4.35	0.35	1.34	3.9	0.267	0.241
3.9	2.63	4.35	0.35	1.34	3.9	0.267	0.241
3.9	2.63	4.35	0.35	1.34	3.9	0.267	0.241
3.88	4.73	3.83	0.23	1.07	3.06	0.296	0.272
3.86	2.84	5.45	0.36	1.21	2.0	0.322	0.282
3.31	3.59	3.2	0.33	1.2	3.2	0.242	0.228
3.28	3.35	4.0	0.51	1.18	3.59	0.291	0.269
3.27	2.66	5.79	0.51	1.12	2.53	0.258	0.225
3.06	2.05	6.04	0.65	1.25	3.6	0.273	0.241
3.04	2.75	6.97	0.64	1.23	3.45	0.253	0.212
2.96	2.29	4.27	0.76	1.35	3.0	0.269	0.252
2.61	2.49	3.12	0.69	1.32	3.41	0.284	0.275
2.59	3.26	4.21	0.57	1.37	5.04	0.329	0.302
2.59	3.26	4.21	0.57	1.37	5.04	0.329	0.302
2.59	3.26	4.21	0.57	1.37	5.04	0.329	0.302
2.58	3.74	3.41	0.52	1.23	4.13	0.265	0.251
2.53	1.76	5.8	0.78	1.36	3.2	0.303	0.271
2.52	4.3	2.51	0.24	1.24	2.73	0.275	0.262
2.05	1.83	3.01	0.66	1.43	3.5	0.324	0.309
2.02	3.93	2.5	0.36	1.25	4.37	0.309	0.296
1.99	3.62	10.41	0.98	1.43	4.78	0.282	0.216
1.9	2.91	4.87	0.5	1.27	4.26	0.262	0.236
1.86	2.49	5.68	0.85	1.27	4.09	0.286	0.259
1.84	3.55	6.76	0.76	1.32	3.33	0.279	0.238
1.83	4.53	3.17	0.18	1.41	3.5	0.273	0.253
1.83	4.53	3.17	0.18	1.41	3.5	0.273	0.253
1.83	4.53	3.17	0.18	1.41	3.5	0.273	0.253
1.82	4.63	2.72	0.4	1.38	3.14	0.296	0.284
1.71	4.93	5.21	0.37	1.45	3.7	0.324	0.285
1.66	3.39	2.06	0.5	1.58	3.71	0.275	0.273
1.43	2.32	3.53	0.77	1.36	4.83	0.276	0.268
1.3	4.25	6.86	0.6	1.38	3.74	0.283	0.238
1.27	3.72	2.79	0.78	1.27	3.8	0.246	0.245
1.17	2.61	4.96	0.78	1.14	3.33	0.339	0.31
1.16	3.92	2.06	0.41	1.38	4.12	0.299	0.291
1.08	3.91	6.22	0.9	1.31	4.85	0.259	0.233
1.02	2.92	6.2	0.91	1.57	4.24	0.299	0.268
1.02	2.92	6.2	0.91	1.57	4.24	0.299	0.268
1.02	2.92	6.2	0.91	1.57	4.24	0.299	0.268
1.0	4.37	4.18	0.62	1.52	4.02	0.22	0.207
0.82	4.02	4.37	0.69	1.38	4.3	0.319	0.301
0.76	3.34	2.87	0.99	1.28	2.96	0.309	0.307
0.73	2.39	5.99	0.93	1.49	3.53	0.299	0.266
0.68	3.66	2.77	0.65	1.53	3.13	0.267	0.263
0.59	5.05	4.83	0.66	1.42	4.75	0.238	0.219
0.58	2.98	5.12	1.12	1.58	3.7	0.258	0.245
0.56	2.03	5.4	1.49	1.29	3.97	0.27	0.262
0.55	3.41	4.04	0.76	1.34	4.35	0.288	0.273
0.53	4.14	4.72	1.09	1.58	6.05	0.269	0.255
0.53	4.14	4.72	1.09	1.58	6.05	0.269	0.255
0.53	4.14	4.72	1.09	1.58	6.05	0.269	0.255
0.49	4.72	4.43	1.03	1.53	5.3	0.305	0.292
0.4	3.53	4.19	1.15	1.22	4.63	0.273	0.268
0.22	3.65	4.17	1.48	1.55	4.84	0.298	0.298
