"C:\Program Files\Java\jdk1.8.0_73\bin\java" -Didea.launcher.port=7534 "-Didea.launcher.bin.path=C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 15.0.4\bin" -Dfile.encoding=UTF-8 -classpath "C:\Program Files\Java\jdk1.8.0_73\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_73\jre\lib\rt.jar;C:\Users\Arthur Kim\IdeaProjects\html_parser\out\production\html_parser;C:\Users\Arthur Kim\Downloads\jsoup-1.10.1.jar;C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 15.0.4\lib\idea_rt.jar" com.intellij.rt.execution.application.AppMain HTML_Parser
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
연도	임경완
1998	-0.578
1999	-0.016
2000	0.507
2001	1.231
2002	-0.299
2003	1.294
2004	3.662
2007	1.520
2008	0.552
2009	2.158
2010	0.670
2011	1.446
2012	-0.019
2013	0.116
2014	-0.066
2015	0.000
연도	WAR
통산	12.177
연도	이승호&birth=1981-09-09
2000	3.234
2001	4.732
2002	4.040
2003	1.384
2004	2.564
2005	0.142
2008	0.560
2009	2.092
2010	2.054
2011	1.017
2012	0.515
2013	-0.234
2015	-0.246
연도	WAR
통산	21.854
연도	정대현&birth=1978-11-10
2001	0.230
2002	0.947
2003	1.680
2004	2.762
2005	1.536
2006	3.237
2007	4.074
2008	2.224
2009	2.782
2010	2.413
2011	2.497
2012	1.544
2013	1.224
2014	1.423
2015	0.700
2016	0.242
연도	WAR
통산	29.514
연도	송신영
2001	2.529
2002	1.621
2003	0.949
2004	1.703
2005	1.696
2006	0.832
2007	2.155
2008	0.795
2009	0.715
2010	1.731
2011	3.911
2012	0.039
2013	1.661
2014	0.218
2015	0.707
2016	0.308
연도	WAR
통산	21.571
연도	정현욱
1998	-0.115
1999	1.009
2000	-0.070
2002	0.534
2003	1.815
2004	1.695
2007	-0.169
2008	3.742
2009	2.553
2010	2.515
2011	2.399
2012	1.417
2013	0.774
2014	0.511
2016	-0.274
연도	WAR
통산	18.337
연도	권혁
2002	-0.263
2003	0.310
2004	1.145
2006	0.041
2007	3.011
2008	1.961
2009	2.794
2010	3.101
2011	1.121
2012	1.343
2013	0.533
2014	1.112
2015	0.875
2016	2.787
연도	WAR
통산	19.870
연도	장원준
2004	0.260
2005	1.246
2006	2.239
2007	1.784
2008	2.936
2009	3.477
2010	2.346
2011	5.253
2014	3.558
2015	2.889
2016	5.669
연도	WAR
통산	31.658
연도	송은범
2003	-0.417
2004	-0.052
2005	0.240
2006	0.066
2007	1.217
2008	2.439
2009	4.156
2010	4.204
2011	1.042
2012	1.549
2013	-0.112
2014	0.148
2015	-0.529
2016	0.400
연도	WAR
통산	14.351
연도	배영수
2000	0.045
2001	3.909
2002	0.409
2003	3.378
2004	6.495
2005	6.022
2006	4.256
2008	1.544
2009	-0.419
2010	1.982
2011	1.277
2012	3.650
2013	2.651
2014	2.800
2015	-1.554
연도	WAR
통산	36.446
연도	김사율
1999	-0.238
2000	0.430
